,EV,MSE,R2,M1,M2,C
Albany,0.7174300042456097,0.002785867060500298,0.702530456017735,-0.005647903151679971,0.025772229911464415,0.8453561924830956
Schoharie,0.6350631713833282,0.004320758993823527,0.07049117034616559,-0.002085701376192603,0.006593339793359391,0.830154887566237
Greene,0.713559407822106,0.003909597250307102,0.28248355940861014,-0.0036421171103727763,0.01003999596811779,0.8256406158079299
Schenectady,0.7158853214243415,0.003802211179463194,0.744845636024476,-0.012521002081279396,0.022740842124326224,0.832585431611206
Allegany,0.6327620355102223,0.005167165712966192,0.10698949614126674,-0.00156872632626142,0.007429721782928085,0.8518810567199393
Steuben,0.7016817257973083,0.0043805442894073385,0.2956453835394738,-0.007704996998116355,0.006749440870811467,0.8545556241667758
Livingston,0.6064329570154969,0.002701345448472307,0.1796293875996019,0.0009994561210950796,-0.009009561384823873,0.8790989896907956
Wyoming,0.6642465443941126,0.003756608871636792,0.17621015840285126,0.0007201873030049979,-0.011187239915978303,0.8760317911449622
Cattaraugus,0.6394065443312718,0.004463430651792085,0.18152265413899582,-0.004791109894783968,0.010721703159091033,0.8142266475135682
Broome,0.6853311400872022,0.003050365174489116,0.5868825276620578,-0.0036784940389196466,0.018669520641668432,0.8281289870069187
Chenango,0.6261733133239453,0.004395813690994403,0.07341024587216793,-0.0017575991276684356,-0.0081427966535929,0.8307941790306628
Tioga,0.721665859146537,0.0034024101815505288,0.1316384089246032,0.0019446121281402572,-0.012007023258099494,0.8203077480316858
Delaware,0.6311131278101169,0.0057506814372837965,0.12680256660943479,-0.002810071113066833,0.00814895158958393,0.8411246020673275
Cortland,0.64685188919431,0.00443691633901718,0.294865533744179,-0.002336810874246755,0.017310200916159143,0.8204369285265489
Chautauqua,0.6745988731599473,0.004250060662267492,0.29069241616983754,-0.005630989060927452,0.009398378548301329,0.8372220304207758
Erie,0.7342810255024101,0.0034420180092856792,0.6231384833945666,-0.01002928721553195,0.014933076261944902,0.8639914719004494
Cayuga,0.6798418138793069,0.003918988139439648,0.479574936011011,-0.003968743331556715,0.018559650542956357,0.7993136346228451
Onondaga,0.7139813197782342,0.002646480767001024,0.5435984604409324,-0.010084703609868908,0.018006135319869526,0.856247441982897
Oswego,0.6358353466849547,0.0050531758836024334,0.20963490050758948,-0.0028101786041749783,0.013772116258295754,0.791493613397263
Wayne,0.7062235651510749,0.003915665501827828,0.43239267020949557,0.0060502553771943695,0.020646278865458036,0.8413478622327466
